"","year","porc_conf_dirpol","porc_conf_altosffaa","porc_conf_diremp","porc_conf_iglesia","porc_conf_congreso","porc_conf_dircortesup"
"1","1990",0.10146173688736,0.16580310880829,0.0820960698689956,0.162692847124825,0.170542635658915,0.13548951048951
"2","1991",0.0860304207119741,0.152559596900538,0.100492110301666,0.143297239591276,0.150397564626797,0.129524773031294
"3","1992",0.08165548098434,0.181971830985915,0.138183869148336,0.128205128205128,0.149328859060403,0.176770538243626
"4","2002",0.0554592720970537,0.290361445783133,0.15031847133758,0.227777777777778,0.0374331550802139,0.160116448326055
